item_id,item_name,category,subcategory,sku,brand,unit_price,cost_price,quantity_in_stock,reorder_level,unit_of_measure,weight_kg,supplier,warehouse_location,status
ITM001,Wireless Bluetooth Headphones,Electronics,Audio,SKU-E001,SoundMax,2999.00,1800.00,45,10,Piece,0.35,TechSupply Co,A1-S1,Active
ITM002,USB-C Charging Cable 2m,Electronics,Accessories,SKU-E002,CablePro,499.00,200.00,200,50,Piece,0.12,TechSupply Co,A1-S2,Active
ITM003,Mechanical Keyboard,Electronics,Peripherals,SKU-E003,KeyMaster,4500.00,2700.00,30,8,Piece,0.95,TechSupply Co,A1-S3,Active
ITM004,Wireless Mouse,Electronics,Peripherals,SKU-E004,ClickPro,1299.00,700.00,60,15,Piece,0.18,TechSupply Co,A1-S4,Active
ITM005,27-inch Monitor,Electronics,Displays,SKU-E005,ViewTech,18999.00,12000.00,15,5,Piece,4.20,DisplayWorld,B1-S1,Active
ITM006,Laptop Stand,Electronics,Accessories,SKU-E006,DeskMate,899.00,450.00,80,20,Piece,0.55,OfficeGear,B1-S2,Active
ITM007,Webcam HD 1080p,Electronics,Peripherals,SKU-E007,VisionCam,2199.00,1300.00,40,10,Piece,0.22,TechSupply Co,B1-S3,Active
ITM008,HDMI Cable 3m,Electronics,Accessories,SKU-E008,CablePro,699.00,300.00,150,40,Piece,0.20,TechSupply Co,B1-S4,Active
ITM009,Portable SSD 1TB,Electronics,Storage,SKU-E009,DataVault,6999.00,4200.00,25,8,Piece,0.08,StorePro,C1-S1,Active
ITM010,USB Hub 7-Port,Electronics,Accessories,SKU-E010,HubMax,1499.00,800.00,55,15,Piece,0.14,TechSupply Co,C1-S2,Active
ITM011,Noise Cancelling Earbuds,Electronics,Audio,SKU-E011,SoundMax,3499.00,2000.00,35,10,Piece,0.06,TechSupply Co,C1-S3,Active
ITM012,Smart Speaker,Electronics,Audio,SKU-E012,EchoTech,3999.00,2400.00,20,6,Piece,0.75,TechSupply Co,C1-S4,Active
ITM013,Gaming Controller,Electronics,Gaming,SKU-E013,GameZone,2799.00,1600.00,28,8,Piece,0.28,GameSupply,D1-S1,Active
ITM014,Graphics Tablet,Electronics,Peripherals,SKU-E014,DrawPro,8999.00,5500.00,12,4,Piece,0.65,TechSupply Co,D1-S2,Active
ITM015,Desk Lamp LED,Electronics,Lighting,SKU-E015,BrightDesk,1199.00,600.00,70,20,Piece,0.45,OfficeGear,D1-S3,Active
ITM016,A4 Copier Paper 500 Sheets,Stationery,Paper,SKU-S001,PaperPlus,299.00,150.00,500,100,Ream,2.50,StationeryHub,E1-S1,Active
ITM017,Ballpoint Pen Box (12 pcs),Stationery,Writing,SKU-S002,PenPro,199.00,90.00,300,80,Box,0.15,StationeryHub,E1-S2,Active
ITM018,Sticky Notes 3x3,Stationery,Paper,SKU-S003,NoteIt,99.00,45.00,400,100,Pack,0.08,StationeryHub,E1-S3,Active
ITM019,Stapler Heavy Duty,Stationery,Tools,SKU-S004,BindIt,549.00,280.00,60,15,Piece,0.42,StationeryHub,E1-S4,Active
ITM020,File Folders A4 (10 pcs),Stationery,Filing,SKU-S005,FileMate,149.00,70.00,250,60,Pack,0.30,StationeryHub,F1-S1,Active
ITM021,Whiteboard Marker Set,Stationery,Writing,SKU-S006,MarkIt,299.00,140.00,180,50,Set,0.12,StationeryHub,F1-S2,Active
ITM022,Scissors Office,Stationery,Tools,SKU-S007,CutPro,149.00,65.00,120,30,Piece,0.08,StationeryHub,F1-S3,Active
ITM023,Calculator Scientific,Stationery,Tools,SKU-S008,CalcMate,799.00,420.00,45,12,Piece,0.18,StationeryHub,F1-S4,Active
ITM024,Highlighter Set 6 Colors,Stationery,Writing,SKU-S009,ColorMark,249.00,110.00,200,50,Set,0.10,StationeryHub,G1-S1,Active
ITM025,Rubber Stamp Ink Pad,Stationery,Tools,SKU-S010,StampPro,199.00,90.00,80,20,Piece,0.07,StationeryHub,G1-S2,Active
ITM026,Ergonomic Office Chair,Furniture,Seating,SKU-F001,ComfortSeat,12999.00,8000.00,20,5,Piece,12.00,FurniturePro,H1-S1,Active
ITM027,Standing Desk Adjustable,Furniture,Desks,SKU-F002,DeskRise,24999.00,15000.00,10,3,Piece,25.00,FurniturePro,H1-S2,Active
ITM028,3-Drawer Filing Cabinet,Furniture,Storage,SKU-F003,StoreSafe,8999.00,5500.00,12,4,Piece,18.00,FurniturePro,H1-S3,Active
ITM029,Bookshelf 5-Tier,Furniture,Storage,SKU-F004,ShelfMate,6499.00,3800.00,15,4,Piece,15.00,FurniturePro,H1-S4,Active
ITM030,Whiteboard 90x120cm,Furniture,Display,SKU-F005,BoardPro,4999.00,2800.00,18,5,Piece,5.50,FurniturePro,I1-S1,Active
ITM031,Meeting Table 6-Seater,Furniture,Tables,SKU-F006,TablePro,32999.00,20000.00,5,2,Piece,45.00,FurniturePro,I1-S2,Active
ITM032,Visitor Chair,Furniture,Seating,SKU-F007,ComfortSeat,3999.00,2200.00,25,8,Piece,5.00,FurniturePro,I1-S3,Active
ITM033,Monitor Arm Dual,Furniture,Accessories,SKU-F008,DeskMate,3499.00,1900.00,22,6,Piece,2.10,FurniturePro,I1-S4,Active
ITM034,Cable Management Box,Furniture,Accessories,SKU-F009,NeatDesk,699.00,350.00,60,15,Piece,0.40,FurniturePro,J1-S1,Active
ITM035,Locker 4-Door,Furniture,Storage,SKU-F010,LockSafe,9999.00,6000.00,8,3,Piece,22.00,FurniturePro,J1-S2,Active
ITM036,Hand Sanitizer 500ml,Hygiene,Sanitization,SKU-H001,CleanPlus,299.00,130.00,300,80,Bottle,0.52,HygieneFirst,K1-S1,Active
ITM037,Tissue Box 200 Sheets,Hygiene,Paper Products,SKU-H002,SoftCare,149.00,65.00,400,100,Box,0.22,HygieneFirst,K1-S2,Active
ITM038,Floor Cleaner 1L,Hygiene,Cleaning,SKU-H003,CleanPro,249.00,110.00,200,60,Bottle,1.05,HygieneFirst,K1-S3,Active
ITM039,Garbage Bags 30L (50 pcs),Hygiene,Waste Management,SKU-H004,WasteCare,199.00,85.00,250,70,Pack,0.35,HygieneFirst,K1-S4,Active
ITM040,Toilet Paper Roll (12 pcs),Hygiene,Paper Products,SKU-H005,SoftCare,349.00,160.00,300,80,Pack,1.20,HygieneFirst,L1-S1,Active
ITM041,Disinfectant Spray 400ml,Hygiene,Sanitization,SKU-H006,CleanPlus,399.00,180.00,180,50,Bottle,0.45,HygieneFirst,L1-S2,Active
ITM042,Mop with Bucket Set,Hygiene,Cleaning,SKU-H007,CleanPro,999.00,520.00,30,8,Set,1.80,HygieneFirst,L1-S3,Active
ITM043,Air Freshener 300ml,Hygiene,Fragrance,SKU-H008,FreshAir,199.00,90.00,200,50,Bottle,0.32,HygieneFirst,L1-S4,Active
ITM044,Dish Wash Liquid 500ml,Hygiene,Cleaning,SKU-H009,CleanPro,149.00,65.00,250,70,Bottle,0.53,HygieneFirst,M1-S1,Active
ITM045,Gloves Latex (100 pcs),Hygiene,Safety,SKU-H010,SafeGlove,499.00,240.00,150,40,Box,0.45,HygieneFirst,M1-S2,Active
ITM046,Instant Coffee 200g,Pantry,Beverages,SKU-P001,Brew360,499.00,250.00,120,30,Jar,0.22,PantrySupply,N1-S1,Active
ITM047,Green Tea Bags (100 pcs),Pantry,Beverages,SKU-P002,TeaLeaf,299.00,140.00,150,40,Box,0.12,PantrySupply,N1-S2,Active
